station_id,station_name,location,latitude,longitude,temperature,humidity,weather,observed_time,pressure,wind_speed,uv_index
CAP010,國一S342K,國一S342K,22.847321,120.286935,25.7,83.0,陰,,-99,2.6,-99
C2V250,甲仙,甲仙,23.081667,120.5825,25.7,64.0,多雲,,-99,1.1,-99
CAN100,國三S366K,國三S366K,22.909476,120.343284,25.6,69.0,陰,,-99,1.8,-99
C2V920,匏子寮,匏子寮,23.050824,120.54511,25.6,65.0,多雲,,-99,3.6,-99
467410,臺南,臺南,22.995039,120.196846,25.6,69.0,陰,,1010.1,2.1,1
C2O810,曾文,曾文,23.221472,120.489222,25.5,68.0,多雲,,-99,0.9,-99
467420,永康,永康,23.040146,120.228623,25.5,69.0,陰,,1011.6,3.1,1
C2TB60,南安,南安,23.299981,121.253469,25.5,67.0,陰,,-99,1.8,-99
C2TB80,庄子底,庄子底,23.719744,121.486249,25.4,69.0,陰,,-99,0.9,-99
CAP070,高雄燈塔,高雄燈塔,22.616364,120.256631,25.4,79.0,陰,,-99,1.3,-99
B2N890,畜試所,畜試所,23.060713,120.328308,25.4,71.0,陰,,-99,2.2,-99
C2M9B0,西興,西興,23.244571,120.568077,25.3,64.0,多雲,,-99,1.5,-99
C2S9A0,北份子寮,北份子寮,22.787412,121.070064,25.3,71.0,多雲,,-99,2.2,-99
CAN010,國一N288K,國一N288K,23.307846,120.281937,25.2,73.0,陰,,-99,2.4,-99
C2X060,下營,下營,23.228563,120.248201,25.2,68.0,陰,,-99,3.2,-99
C2R9A0,高士國小,高士國小,22.127335,120.838508,25.2,74.0,晴,,-99,1.2,-99
466990,花蓮,花蓮,23.976933,121.605126,25.1,78.0,陰,,1010.9,3.1,1
A2N290,蘭花園區,蘭花園區,23.342018,120.371562,25.1,74.0,陰,,-99,4.1,-99
CAN040,國一N323K,國一N323K,23.01355,120.241377,25.1,82.0,陰,,-99,3.2,-99
E2S980,太麻里(1),太麻里(1),22.600724,120.971991,25.1,73.0,陰,,-99,0.0,-99
C2TB50,麻汝,麻汝,23.427345,121.38547,25.1,68.0,陰,,-99,2.0,-99
C2N190,烏樹,烏樹,23.32569,120.361793,25.1,73.0,陰,,-99,2.1,-99
467610,成功,成功,23.099296,121.36534,25.0,72.0,多雲,,1008.3,0.8,2
72M360,義竹分場,義竹分場,23.362432,120.271244,24.9,67.0,陰,,-99,3.8,-99
C2N160,西拉雅風管處,西拉雅風管處,23.191241,120.327209,24.9,69.0,陰,,-99,2.7,-99
CAN090,國三S342K,國三S342K,23.108456,120.319446,24.8,77.0,陰有靄,,-99,3.9,-99
C2SD70,二層坪,二層坪,22.942853,121.160303,24.8,69.0,多雲,,-99,3.0,-99
CAN140,六官養殖協會,六官養殖協會,23.230568,120.29153,24.8,67.0,陰,,-99,3.8,-99
C2N170,茅港尾,茅港尾,23.207857,120.254311,24.8,72.0,陰,,-99,2.5,-99
CAN150,國一N315K,國一N315K,23.08526,120.24383,24.8,81.0,陰,,-99,4.4,-99
C2O950,安南,安南,23.078333,120.136667,24.7,77.0,陰,,-99,2.5,-99
72T250,花蓮農改,花蓮農改,23.977028,121.555752,24.7,82.0,陰,,-99,1.4,-99
72U480,蘭陽分場,蘭陽分場,24.688121,121.708402,24.7,71.0,陰,,-99,0.7,-99
466920,臺北,臺北,25.039439,121.506628,24.6,65.0,陰,,1010.2,0.8,0
C2TB30,吉安,吉安,23.947182,121.539883,24.6,78.0,陰,,-99,0.6,-99
C2TB90,長橋,長橋,23.689203,121.453731,24.6,75.0,陰,,-99,0.6,-99
CAA010,國一N013K,國一N013K,25.068524,121.619925,24.5,73.0,陰,,-99,1.1,-99
82S580,臺東茶改,臺東茶改,22.909476,121.12206,24.5,72.0,多雲,,-99,-99,-99
C2SD50,順那,順那,23.043467,121.285235,24.5,72.0,多雲,,-99,2.8,-99
C2M9C0,紫雲,紫雲,23.496678,120.532142,24.5,70.0,陰,,-99,2.8,-99
CAN080,國三N336K,國三N336K,23.156484,120.336914,24.5,86.0,陰,,-99,4.5,-99
CAN070,國三S329K,國三S329K,23.214538,120.347743,24.5,83.0,陰,,-99,4.9,-99
C2TA90,加納納,加納納,23.468223,121.351754,24.4,72.0,陰,,-99,2.5,-99
C2M910,嘉義大學,嘉義大學,23.473087,120.477795,24.3,73.0,陰,,-99,2.7,-99
467080,宜蘭,宜蘭,24.765773,121.748322,24.2,78.0,陰,,1012.8,2.5,1
72K220,雲林分場,雲林分場,23.636304,120.469202,24.2,72.0,陰,,-99,2.3,-99
C2M920,朴子農改,朴子農改,23.47164,120.251277,24.2,75.0,陰,,-99,4.0,-99
72M700,嘉義分場,嘉義分場,23.418608,120.274941,24.1,73.0,陰,,-99,-99,-99
A0A010,臺灣大學,臺灣大學,25.01606,121.531193,24.1,63.0,陰,,-99,0.4,-99
C2M410,馬頭山,馬頭山,23.326389,120.573611,24.1,72.0,陰,,-99,4.2,-99
CAL030,國一N268K,國一N268K,23.46259,120.367726,24.0,86.0,陰,,-99,1.8,-99
467620,蘭嶼,蘭嶼,22.038737,121.55041,24.0,79.0,晴,,976.5,2.0,2
CAA030,國三S010K,國三S010K,25.081787,121.639272,24.0,65.0,陰,,-99,0.5,-99
CAUB30,國五S031K,國五S031K,24.820942,121.774168,24.0,82.0,陰,,-99,3.2,-99
B2U990,宜蘭畜試,宜蘭畜試,24.670842,121.824362,24.0,85.0,陰,,-99,2.0,-99
C2K300,鹿南,鹿南,23.640303,120.355481,24.0,76.0,陰,,-99,3.0,-99
CAM900,國三S290K,國三S290K,23.505867,120.482631,24.0,84.0,陰,,-99,4.3,-99
A2K570,古坑(花卉中心),古坑(花卉中心),23.6353,120.54428,23.9,73.0,陰,,-99,2.6,-99
467290,古坑,古坑,23.635401,120.543769,23.9,72.0,陰,,1002.7,3.0,1
CAL110,布袋國中,布袋國中,23.360676,120.17216,23.9,76.0,陰,,-99,3.6,-99
C2S9B0,利吉,利吉,22.864264,121.146788,23.9,78.0,多雲,,-99,1.8,-99
467480,嘉義,嘉義,23.497684,120.424796,23.9,77.0,陰,,1009.9,3.5,1
72N240,七股研究中心,七股研究中心,23.083472,120.054792,23.9,82.0,陰,,-99,4.7,-99
CAL090,西濱S257K,西濱S257K,23.504025,120.163753,23.9,76.0,陰,,-99,2.3,-99
466881,新北,新北,24.96099,121.516977,23.8,74.0,陰,,1010.8,1.1,0
C2K280,四湖,四湖,23.632147,120.219053,23.8,75.0,陰,,-99,2.9,-99
72S200,班鳩分場,班鳩分場,22.831307,121.069619,23.8,75.0,多雲,,-99,2.0,-99
CAL100,西濱S267K,西濱S267K,23.417568,120.15477,23.8,80.0,陰,,-99,3.7,-99
CAN020,國一S306K,國一S306K,23.154587,120.222474,23.8,78.0,陰,,-99,3.2,-99
G2L020,嘉義農試,嘉義農試,23.486776,120.465684,23.7,72.0,陰,,-99,3.0,-99
CAL040,國一N273K,國一N273K,23.418417,120.346896,23.7,88.0,陰,,-99,4.0,-99
CAUB50,國五S047K,國五S047K,24.677257,121.786384,23.7,83.0,陰,,-99,2.7,-99
CAA020,國一S026K,國一S026K,25.078169,121.488172,23.7,72.0,陰,,-99,1.3,-99
C2M980,安和,安和,23.515523,120.30782,23.7,76.0,陰,,-99,4.1,-99
CAN060,國三S311K,國三S311K,23.34815,120.430789,23.7,77.0,陰,,-99,4.5,-99
CAL080,國三N303K,國三N303K,23.413742,120.444389,23.7,86.0,陰,,-99,2.6,-99
CAA070,國三N046K,國三N046K,24.952607,121.387582,23.6,80.0,陰,,-99,0.8,-99
C2G9A0,畜試所彰化,畜試所彰化,23.862208,120.549828,23.6,72.0,陰,,-99,2.2,-99
CAUB40,國五S041K,國五S041K,24.736563,121.773719,23.5,85.0,陰,,-99,3.2,-99
C2M9D0,何竹子腳,何竹子腳,23.538166,120.373918,23.5,79.0,陰,,-99,3.8,-99
G2F820,農業試驗所,農業試驗所,24.033022,120.679986,23.5,73.0,陰,,-99,2.5,-99
72S590,賓朗果園,賓朗果園,22.815668,121.063204,23.5,-99.0,多雲,,-99,1.2,-99
G2M350,溪口農場,溪口農場,23.587406,120.399994,23.5,75.0,陰,,-99,3.7,-99
CAJ010,國三N252K,國三N252K,23.775877,120.632472,23.5,84.0,陰,,-99,1.1,-99
CAAH60,大安森林,大安森林,25.031331,121.528056,23.5,67.0,陰,,-99,0.0,-99
CAA090,國三甲005K,國三甲005K,25.003726,121.589277,23.5,78.0,陰,,-99,0.6,-99
CAA050,國三S037K,國三S037K,24.984141,121.462821,23.5,78.0,陰,,-99,1.0,-99
467270,田中,田中,23.875561,120.573149,23.5,72.0,陰,,1008.3,2.7,1
C2K290,崙內,崙內,23.697001,120.347887,23.4,76.0,陰,,-99,2.6,-99
C2M9E0,旺來山,旺來山,23.556913,120.478349,23.4,73.0,陰,,-99,3.9,-99
CAN130,水試所海水繁養殖中心,水試所海水繁養殖中心,23.122553,120.071594,23.4,85.0,陰,,-99,5.0,-99
C2K630,荷苞,荷苞,23.65948,120.587023,23.3,72.0,陰,,-99,1.7,-99
CAN120,西濱N304K,西濱N304K,23.10519,120.078614,23.3,83.0,陰,,-99,5.4,-99
C2SD60,明峰,明峰,22.868903,121.110178,23.3,76.0,多雲,,-99,2.7,-99
CAL070,國三N295K,國三N295K,23.470361,120.491261,23.3,83.0,陰,,-99,4.0,-99
CAL050,國三N279K,國三N279K,23.597872,120.515216,23.3,81.0,陰,,-99,3.1,-99
CAN110,西濱S280K,西濱S280K,23.30695,120.140816,23.3,82.0,陰,,-99,4.6,-99
CAL010,國一N250K,國一N250K,23.612038,120.428737,23.3,86.0,陰,,-99,3.6,-99
CAB020,國一S006K,國一S006K,25.088729,121.678671,23.3,81.0,陰,,-99,1.0,-99
CAHA00,消防署訓練中心,消防署訓練中心,23.82313,120.7148,23.2,73.0,陰,,-99,0.8,-99
E2K600,四湖植物園,四湖植物園,23.678718,120.155296,23.2,95.0,陰,,-99,1.8,-99
C2H9H0,苗改南投蜂場,苗改南投蜂場,23.854353,120.685345,23.2,73.0,陰,,-99,2.1,-99
CAA040,國三S016K,國三S016K,25.034846,121.607575,23.1,81.0,陰,,-99,0.6,-99
467490,臺中,臺中,24.147494,120.675919,23.1,72.0,陰,,1003.8,1.8,0
C2G840,北斗,北斗,23.879222,120.506528,23.1,74.0,陰,,-99,1.5,-99
G2AI50,台農院關渡站,台農院關渡站,25.117528,121.483769,23.1,69.0,陰,,-99,1.2,-99
C2SD80,再來山,再來山,23.345518,121.433115,23.1,80.0,陰,,-99,0.9,-99
72AI40,桃改臺北,桃改臺北,24.946279,121.378755,23.1,70.0,陰,,-99,0.0,-99
C2H950,中寮,中寮,23.886278,120.758528,23.0,73.0,陰,,-99,0.6,-99
CAL020,國一S262K,國一S262K,23.51409,120.394928,23.0,90.0,陰,,-99,5.2,-99
467571,新竹,新竹,24.830335,121.006343,23.0,78.0,陰,,1010.3,0.2,0
V2C260,八德蔬果,八德蔬果,24.980279,121.27356,23.0,70.0,陰,,-99,0.5,-99
A2K630,雲林臺大,雲林臺大,23.732381,120.415777,23.0,75.0,陰,,-99,2.3,-99
CAD050,國一N094K,國一N094K,24.799541,121.000695,23.0,76.0,陰,,-99,0.9,-99
467300,東吉島,東吉島,23.258999,119.659533,23.0,84.0,陰,,1008.4,5.6,1
CAH020,國三S217K,國三S217K,24.008587,120.645062,23.0,82.0,陰,,-99,2.2,-99
C2G980,田頭村,田頭村,23.828053,120.436042,23.0,80.0,陰,,-99,1.6,-99
CAA060,國三S042K,國三S042K,24.961778,121.422381,23.0,84.0,陰,,-99,0.9,-99
C2K250,崙背,崙背,23.757278,120.310803,22.9,78.0,陰,,-99,2.9,-99
C2G9C0,埔南,埔南,23.992991,120.461546,22.9,74.0,陰,,-99,3.3,-99
72G600,臺中農改,臺中農改,24.004779,120.526236,22.9,74.0,陰,,-99,3.1,-99
C2A880,福隆,福隆,25.019167,121.934167,22.9,82.0,陰,,-99,0.1,-99
CAC020,國二E009K,國二E009K,25.020014,121.265475,22.8,79.0,陰,,-99,1.0,-99
CAB040,國三S007K,國三S007K,25.098727,121.65957,22.8,84.0,陰,,-99,1.7,-99
CAG060,國三S202K,國三S202K,24.094222,120.595098,22.8,77.0,陰,,-99,2.4,-99
C2H9F0,柑林,柑林,24.020426,120.838924,22.8,73.0,陰,,-99,1.1,-99
467350,澎湖,澎湖,23.56722,119.554987,22.8,83.0,陰,,1012.1,2.8,1
12J990,口湖工作站,口湖工作站,23.591722,120.172281,22.8,80.0,陰,,-99,4.0,-99
CAD040,國一S088K,國一S088K,24.8462,121.013191,22.7,85.0,陰,,-99,1.1,-99
A0G720,彰師大,彰師大,24.08314,120.548508,22.7,81.0,陰,,-99,1.5,-99
CAF050,國三N208K,國三N208K,24.067905,120.652763,22.6,82.0,陰,,-99,3.6,-99
C2A660,瑞芳,瑞芳,25.114861,121.792639,22.6,74.0,陰,,-99,0.4,-99
C2G9E0,移民庄,移民庄,23.980148,120.394687,22.6,78.0,陰,,-99,2.7,-99
C2K310,港尾布雞,港尾布雞,23.750092,120.376263,22.6,80.0,陰,,-99,4.0,-99
CAF040,國一S188K,國一S188K,24.120299,120.577587,22.6,75.0,陰,,-99,1.7,-99
V2K610,大庄合作社,大庄合作社,23.80855,120.359808,22.6,79.0,陰,,-99,3.0,-99
CAA080,國三S054K,國三S054K,24.940943,121.315683,22.5,84.0,陰,,-99,0.6,-99
CAAD60,國五S005K,國五S005K,24.998202,121.643708,22.5,76.0,陰,,-99,0.6,-99
CAAD70,國五S006K,國五S006K,24.991753,121.64875,22.5,83.0,陰,,-99,0.4,-99
A2C560,農工中心,農工中心,24.987706,121.231626,22.5,76.0,陰,,-99,0.3,-99
C2C410,中央大學,中央大學,24.969417,121.176946,22.5,77.0,陰,,-99,0.8,-99
CAH010,國三N223K,國三N223K,23.956874,120.654227,22.5,74.0,陰,,-99,3.7,-99
CAJ020,國一N234K,國一N234K,23.748078,120.459788,22.5,76.0,陰,,-99,4.0,-99
CAG030,國一S207K,國一S207K,23.990053,120.499939,22.5,79.0,陰,,-99,4.0,-99
C2K620,馬光農場,馬光農場,23.723205,120.370739,22.4,80.0,陰,,-99,3.2,-99
CAA990,國一N039K,國一N039K,25.066207,121.373771,22.3,78.0,陰,,-99,0.8,-99
CAE110,西濱S129K,西濱S129K,24.44895,120.634622,22.3,77.0,陰,,-99,2.2,-99
C2G870,芳苑,芳苑,23.924,120.311861,22.2,84.0,陰,,-99,1.8,-99
CAF100,西濱N151K,西濱N151K,24.277713,120.539516,22.2,79.0,陰,,-99,1.4,-99
72D680,新埔工作站,新埔工作站,24.836,121.058,22.2,79.0,陰,,-99,0.8,-99
CAE090,國三S156K,國三S156K,24.399738,120.66131,22.2,78.0,陰,,-99,2.4,-99
C2G640,鹿港,鹿港,24.076944,120.422222,22.2,84.0,陰,,-99,1.7,-99
C2E420,竹南,竹南,24.710737,120.880772,22.2,86.0,陰,,-99,0.5,-99
C2F930,大甲,大甲,24.349917,120.632361,22.2,78.0,陰,,-99,0.2,-99
C2H9U0,鳳鵬,鳳鵬,23.76569,120.779931,22.1,74.0,陰,,-99,0.6,-99
CAD060,國一S098K,國一S098K,24.762369,120.982894,22.1,85.0,陰,,-99,0.6,-99
CAB030,國三S004K,國三S004K,25.116228,121.680369,22.1,81.0,陰,,-99,0.6,-99
A0K420,麥寮,麥寮,23.800517,120.209572,22.1,85.0,陰,,-99,3.7,-99
CAG050,國三N196K,國三N196K,24.108907,120.546322,22.0,79.0,陰,,-99,3.2,-99
C2H9T0,名間竹圍,名間竹圍,23.861675,120.629436,22.0,77.0,陰,,-99,0.6,-99
CAD010,國一S105K,國一S105K,24.728088,120.932448,22.0,91.0,陰,,-99,0.6,-99
C2H9G0,百勝,百勝,24.052912,120.90121,22.0,73.0,陰,,-99,0.6,-99
CAG070,西濱S173K,西濱S173K,24.109847,120.426423,22.0,82.0,陰,,-99,3.5,-99
CAB010,國一S001K,國一S001K,25.11762,121.720369,22.0,87.0,陰,,-99,1.3,-99
CAG100,王功漁港,王功漁港,23.969984,120.317718,22.0,80.0,陰,,-99,4.3,-99
C2H9P0,伊拿谷,伊拿谷,23.964991,121.080118,21.9,64.0,陰,,-99,1.8,-99
C2W230,畜試所澎湖,畜試所澎湖,23.630055,119.505094,21.9,86.0,陰,,-99,2.6,-99
CAH030,茶改場竹圍站,茶改場竹圍站,23.861844,120.629392,21.9,76.0,陰,,-99,0.7,-99
C0FA30,梧棲,梧棲,24.257753,120.515211,21.9,86.0,陰,,-99,2.1,-99
U2HA40,臺大內茅埔,臺大內茅埔,23.691497,120.842992,21.9,74.0,陰,,-99,0.6,-99
U2HA30,臺大和社,臺大和社,23.592633,120.880744,21.8,85.0,陰,,-99,0.6,-99
CAAD90,國五N013K,國五N013K,24.949395,121.697289,21.8,85.0,陰有靄,,-99,0.5,-99
CAC030,國三N063K,國三N063K,24.891285,121.255387,21.8,81.0,陰,,-99,1.5,-99
CAD090,國三S103K,國三S103K,24.76037,120.952631,21.8,87.0,陰,,-99,0.9,-99
CAAD80,國五N008K,國五N008K,24.985201,121.659868,21.8,85.0,陰,,-99,0.8,-99
CAG010,國一N198K,國一N198K,24.065639,120.514899,21.8,83.0,陰,,-99,3.5,-99
CAF090,國四E5K,國四E5K,24.298221,120.634964,21.8,86.0,陰,,-99,1.0,-99
CAE070,國三N151K,國三N151K,24.441976,120.673477,21.8,77.0,陰,,-99,1.6,-99
CAE060,國三N119K,國三N119K,24.677199,120.839196,21.8,91.0,陰,,-99,1.5,-99
CAG040,國三N191K,國三N191K,24.141006,120.513338,21.7,85.0,陰,,-99,2.7,-99
CAF950,國一N158K,國一N158K,24.334121,120.708967,21.7,83.0,陰,,-99,1.2,-99
CAE020,國一S114K,國一S114K,24.670593,120.877616,21.7,83.0,陰,,-99,0.6,-99
CAF060,國三S168K,國三S168K,24.310274,120.606299,21.7,81.0,陰,,-99,1.7,-99
CAG080,西濱S189K,西濱S189K,23.989603,120.361463,21.7,84.0,陰,,-99,3.7,-99
CAJ030,西濱N222K,西濱N222K,23.73948,120.248007,21.7,85.0,陰,,-99,4.8,-99
CAD110,西濱S082K,西濱S082K,24.753481,120.896827,21.6,89.0,陰,,-99,1.3,-99
CAD020,國一N077K,國一N077K,24.886763,121.080688,21.6,82.0,陰,,-99,1.2,-99
CAC760,國一高架N063K,國一高架N063K,24.952048,121.188097,21.6,83.0,陰,,-99,1.8,-99
CAF010,國一N174K,國一N174K,24.206657,120.647035,21.6,85.0,陰,,-99,3.0,-99
CAE080,國三S140K,國三S140K,24.524106,120.716822,21.6,81.0,陰,,-99,1.3,-99
CAG090,西濱N210K,西濱N210K,23.845282,120.285103,21.6,84.0,陰,,-99,4.6,-99
C2C590,觀音,觀音,25.028835,121.145094,21.6,88.0,陰,,-99,0.9,-99
C2D730,寶山農場,寶山農場,24.734205,120.967953,21.6,89.0,陰,,-99,0.1,-99
467280,後龍,後龍,24.650318,120.823641,21.6,92.0,陰,,1009.7,0.3,0
C2H9J0,中台,中台,24.001373,120.930591,21.5,71.0,陰,,-99,1.6,-99
CAD100,西濱N066K,西濱N066K,24.897357,120.956688,21.5,88.0,陰,,-99,1.5,-99
CAE040,國一S132K,國一S132K,24.526272,120.812648,21.5,82.0,陰,,-99,0.9,-99
CAD710,國三N077K,國三N077K,24.799064,121.181827,21.5,86.0,陰,,-99,0.5,-99
CAC770,國三N072K,國三N072K,24.838161,121.191163,21.5,85.0,陰,,-99,1.2,-99
K2E360,苗栗農改,苗栗農改,24.497488,120.82093,21.5,79.0,陰,,-99,1.3,-99
72C440,桃園農改,桃園農改,24.952721,121.022375,21.4,90.0,陰,,-99,2.0,-99
CAB050,國三N002K,國三N002K,25.147619,121.713466,21.3,87.0,陰,,-99,0.4,-99
CAD080,國三N085K,國三N085K,24.785096,121.112895,21.3,92.0,陰,,-99,0.8,-99
CAF030,國一S169K,國一S169K,24.238875,120.680105,21.3,86.0,陰,,-99,2.2,-99
CAF960,國三S175K,國三S175K,24.253246,120.58152,21.3,78.0,陰,,-99,3.2,-99
82C160,茶改場,茶改場,24.910258,121.17713,21.3,77.0,陰,,-99,0.7,-99
C2A650,火燒寮,火燒寮,25.004411,121.734572,21.3,86.0,陰,,-99,0.2,-99
CAD030,國一S082K,國一S082K,24.878431,121.038489,21.3,81.0,陰,,-99,1.3,-99
72HA00,埔里分場,埔里分場,23.904982,120.955222,21.3,75.0,陰,,-99,-99,-99
CAE100,西濱N107K,西濱N107K,24.597551,120.731211,21.3,88.0,陰,,-99,0.8,-99
CAF980,國三N183K,國三N183K,24.19538,120.562148,21.3,82.0,陰,,-99,1.8,-99
CAE030,國一S123K,國一S123K,24.597708,120.852523,21.2,85.0,陰,,-99,0.4,-99
CAF020,國一S162K,國一S162K,24.297293,120.687806,21.2,80.0,陰,,-99,2.0,-99
E2H360,蓮華池,蓮華池,23.920106,120.877136,21.2,75.0,陰,,-99,1.0,-99
K2E710,大湖分場,大湖分場,24.42463,120.863657,21.1,77.0,陰,,-99,1.4,-99
C2E540,龍溪,龍溪,24.608056,120.775556,21.1,85.0,陰,,-99,0.2,-99
467050,新屋,新屋,25.008484,121.039271,21.1,90.0,陰,,1011.7,2.7,0
B2E890,新竹畜試,新竹畜試,24.529569,120.762788,21.1,87.0,陰,,-99,0.0,-99
C2E520,大湖,大湖,24.4167,120.862694,21.1,82.0,陰,,-99,0.5,-99
C2H9Y0,松茗,松茗,23.818463,120.642632,21.1,79.0,陰,,-99,1.5,-99
CAC010,國一S072K,國一S072K,24.897595,121.125987,21.0,87.0,陰,,-99,1.0,-99
C2A920,富貴角,富貴角,25.265556,121.557278,21.0,81.0,陰,,-99,1.0,-99
C2UC20,長嶺,長嶺,24.710732,121.603419,20.9,89.0,陰,,-99,0.3,-99
CAE560,國一S144K,國一S144K,24.438818,120.770016,20.8,82.0,陰,,-99,2.0,-99
82H840,凍頂茶改,凍頂茶改,23.76429,120.732364,20.8,77.0,陰,,-99,1.4,-99
466900,淡水,淡水,25.166664,121.440672,20.8,94.0,陰有靄,,1011.7,0.7,0
C2D720,關西工作站,關西工作站,24.759045,121.176589,20.8,91.0,陰,,-99,0.5,-99
CAE050,國一S152K,國一S152K,24.377254,120.74101,20.8,80.0,陰,,-99,2.7,-99
C2F000,大肚,大肚,24.154667,120.564,20.7,82.0,陰,,-99,1.8,-99
C2E970,八甲,八甲,24.537566,120.787798,20.7,90.0,陰,,-99,0.4,-99
A0A460,文化大學,文化大學,25.137855,121.531657,20.6,78.0,陰,,-99,0.5,-99
C2A540,四堵,四堵,24.894394,121.737519,20.6,82.0,陰,,-99,0.3,-99
82A750,文山茶改,文山茶改,24.957588,121.623022,20.5,83.0,陰,,-99,0.0,-99
C2TA70,赤科坪,赤科坪,23.400655,121.383571,20.4,84.0,陰,,-99,1.0,-99
K2F750,種苗繁殖,種苗繁殖,24.227737,120.792753,20.4,80.0,陰,,-99,1.1,-99
C2F9A0,中竹林,中竹林,24.105556,120.743333,20.4,85.0,陰,,-99,0.5,-99
466940,基隆,基隆,25.135104,121.732242,20.4,88.0,陰有靄,,1010.4,2.2,1
C2R990,泰武,泰武,22.608649,120.689598,20.4,83.0,陰,,-99,1.0,-99
C2H9W0,大坪頂農水,大坪頂農水,24.044894,120.92463,20.4,78.0,陰,,-99,2.0,-99
C2UC10,出水溪,出水溪,24.617617,121.644058,20.2,82.0,陰,,-99,0.5,-99
42HA10,萬大發電廠,萬大發電廠,23.980611,121.131497,20.2,71.0,陰,,-99,1.7,-99
C2A560,福山,福山,24.778333,121.494583,20.2,88.0,陰,,-99,0.2,-99
C2E430,南庄,南庄,24.603539,120.992023,20.2,94.0,陰,,-99,0.5,-99
C2H9D0,三隻寮,三隻寮,24.094845,120.853424,20.1,81.0,陰,,-99,0.8,-99
C2H9M0,發祥,發祥,24.155875,121.156357,19.9,60.0,陰,,-99,0.9,-99
C2E990,新坪頂,新坪頂,24.303773,120.849231,19.6,85.0,陰,,-99,1.6,-99
C2M9A0,大華,大華,23.484171,120.6668,19.5,82.0,陰,,-99,0.6,-99
82H320,魚池茶改,魚池茶改,23.877382,120.905442,19.4,80.0,陰,,-99,1.1,-99
467650,日月潭,日月潭,23.883099,120.899911,19.3,84.0,陰有靄,,-99,0.6,1
C2M940,日野賀,日野賀,23.435829,120.719062,19.2,83.0,陰,,-99,2.1,-99
C2TA60,六十石,六十石,23.226575,121.310513,19.2,84.0,多雲,,-99,1.8,-99
466950,彭佳嶼,彭佳嶼,25.629774,122.071474,19.2,95.0,陰有靄,,1002.3,3.8,0
C2E880,三義,三義,24.407236,120.741644,18.6,90.0,陰,,-99,2.2,-99
C2K610,草嶺石壁,草嶺石壁,23.604239,120.699612,18.3,89.0,陰,,-99,0.6,-99
466930,陽明山,陽明山,25.163858,121.536313,18.2,94.0,陰,,945.2,0.0,0
